user_text,bot_response,source,clean_user_text,clean_bot_response
mujhe apke is department me jo logon ko benaqab karta hai usme job chaiye,"samajh gaya, aur batao? main sun raha hun 🙂",Roman Urdu Sentiment Support,mujhe apke is department me jo logon ko benaqab karta hai usme job chaiye,"samajh gaya, aur batao? main sun raha hun 🙂"
Singing se talluq rakhne wale gharano ne ataullah ki singing ko mauseeqi ke sath narwa sulook se tabeer kiya,"wah, ye sun kar bohat acha laga! khush raho 😊",Roman Urdu Sentiment Support,singing se talluq rakhne wale gharano ne ataullah ki singing ko mauseeqi ke sath narwa sulook se tabeer kiya,"wah, ye sun kar bohat acha laga! khush raho 😊"
Is bullrun ne ex ki trah katta hai 🌚🔪,"samajh sakta hun, ye waqai mushkil lag raha hai. thora relax karo, main tumhare sath hun 🤗",Roman Urdu Sentiment Support,is bullrun ne ex ki trah katta hai,"samajh sakta hun, ye waqai mushkil lag raha hai. thora relax karo, main tumhare sath hun 🤗"
tumne tiktok ka account banaya kya?,"haan, yaar, par kuchh post nahin kiya abhi.",Hinglish Everyday Conversations,tumne tiktok ka account banaya kya?,"haan, yaar, par kuchh post nahin kiya abhi."
 General Raheel Sharif ne Government College Lahore aur Pakistan Military Academy se taleem pai jahan unhon ne 54th course pass kiya,"samajh gaya, aur batao? main sun raha hun 🙂",Roman Urdu Sentiment Support,general raheel sharif ne government college lahore aur pakistan military academy se taleem pai jahan unhon ne 54th course pass kiya,"samajh gaya, aur batao? main sun raha hun 🙂"
"aaj toh bas ek din chilla ke sona chahti hoon. na kaam,na khana, bas relax","are, itna relax toh koi baat nahi, ek cup chai aur ek book, saari tension dur ho jaati hai!",Hinglish Everyday Conversations,"aaj toh bas ek din chilla ke sona chahti hoon. na kaam,na khana, bas relax","are, itna relax toh koi baat nahi, ek cup chai aur ek book, saari tension dur ho jaati hai!"
"sun,kya tumhe pata hai ki wearable devices se health tracking kitna aasaan ho gaya hai, ab toh sab log fitness ke liye motivated hain!","bilkul, par kabhi kabhi mujhe lagta hai ki log sirf data dekhne mein busy hain, actual fitness routine par focus nahi karte!",Hinglish Everyday Conversations,"sun,kya tumhe pata hai ki wearable devices se health tracking kitna aasaan ho gaya hai, ab toh sab log fitness ke liye motivated hain!","bilkul, par kabhi kabhi mujhe lagta hai ki log sirf data dekhne mein busy hain, actual fitness routine par focus nahi karte!"
Heheh sahi khel gai ,"wah, ye sun kar bohat acha laga! khush raho 😊",Roman Urdu Sentiment Support,heheh sahi khel gai,"wah, ye sun kar bohat acha laga! khush raho 😊"
Yia kisa marke kiya jata hia Bata saktay ho,"samajh gaya, aur batao? main sun raha hun 🙂",Roman Urdu Sentiment Support,yia kisa marke kiya jata hia bata saktay ho,"samajh gaya, aur batao? main sun raha hun 🙂"
"kya yaar,ye to bahut kharcha hai?","haa yaar, but itna hi mazaa bhi hai.",Hinglish Everyday Conversations,"kya yaar,ye to bahut kharcha hai?","haa yaar, but itna hi mazaa bhi hai."
"tumne kya suna hai,ki 5g network launch ho gaya hai?","haaan, sunna toh hai, par mera phone to 4g hai, kaise use karenge?",Hinglish Everyday Conversations,"tumne kya suna hai,ki 5g network launch ho gaya hai?","haaan, sunna toh hai, par mera phone to 4g hai, kaise use karenge?"
"maine suna hai ki yeh new app bahut helpful hai,kya tune use kiya?","haan, yeh toh bohot acha hai. isiliye main aapko bhi suggest kar rahi thi, aapke liye bhi bahut kaam aayega!",Hinglish Everyday Conversations,"maine suna hai ki yeh new app bahut helpful hai,kya tune use kiya?","haan, yeh toh bohot acha hai. isiliye main aapko bhi suggest kar rahi thi, aapke liye bhi bahut kaam aayega!"
"aaj bahar ka weather bada mazedaar hai,na?","haan yaar, garam toh bahut hai, lekin havaa mazedaar chal rahi hai.",Hinglish Everyday Conversations,"aaj bahar ka weather bada mazedaar hai,na?","haan yaar, garam toh bahut hai, lekin havaa mazedaar chal rahi hai."
"arey,mujhe ek friend ne bola ki agar main kisi ko kisi cheez ka contract offer karun toh uski acceptance kaise hoti hai?","acceptance tab hoti hai jab wo person us contract ko bina kisi changes ke accept kare, aur dono taraf se agreement hona chahiye, samjhi?",Hinglish Everyday Conversations,"arey,mujhe ek friend ne bola ki agar main kisi ko kisi cheez ka contract offer karun toh uski acceptance kaise hoti hai?","acceptance tab hoti hai jab wo person us contract ko bina kisi changes ke accept kare, aur dono taraf se agreement hona chahiye, samjhi?"
Dukh ki baat too ye hy ky ye kaysy parent's hy,"samajh sakta hun, ye waqai mushkil lag raha hai. thora relax karo, main tumhare sath hun 🤗",Roman Urdu Sentiment Support,dukh ki baat too ye hai ky ye kaysy parent's hai,"samajh sakta hun, ye waqai mushkil lag raha hai. thora relax karo, main tumhare sath hun 🤗"
I have no idea,"samajh gaya, aur batao? main sun raha hun 🙂",Roman Urdu Sentiment Support,i have no idea,"samajh gaya, aur batao? main sun raha hun 🙂"
Ajeb lgta mjhy,"samajh sakta hun, ye waqai mushkil lag raha hai. thora relax karo, main tumhare sath hun 🤗",Roman Urdu Sentiment Support,ajeb lgta mjhy,"samajh sakta hun, ye waqai mushkil lag raha hai. thora relax karo, main tumhare sath hun 🤗"
sorry to all members',"samajh sakta hun, ye waqai mushkil lag raha hai. thora relax karo, main tumhare sath hun 🤗",Roman Urdu Sentiment Support,sorry to all members',"samajh sakta hun, ye waqai mushkil lag raha hai. thora relax karo, main tumhare sath hun 🤗"
Uper sy na mkhy ata tha,"samajh sakta hun, ye waqai mushkil lag raha hai. thora relax karo, main tumhare sath hun 🤗",Roman Urdu Sentiment Support,uper sy na mkhy ata tha,"samajh sakta hun, ye waqai mushkil lag raha hai. thora relax karo, main tumhare sath hun 🤗"
kal shopping karne jaa rahe ho?,"haa, shayad kuchh clothes dekhne jaaunga.",Hinglish Everyday Conversations,kal shopping karne jaa rahe ho?,"haa, shayad kuchh clothes dekhne jaaunga."
aapko cricket kaunsa team pasand hai?,"india, obviously!",Hinglish Everyday Conversations,aapko cricket kaunsa team pasand hai?,"india, obviously!"
deekhna nhi hy catch b krna hy,"samajh gaya, aur batao? main sun raha hun 🙂",Roman Urdu Sentiment Support,deekhna nhi hai catch b krna hai,"samajh gaya, aur batao? main sun raha hun 🙂"
"sun,kya tumhe yaad hai, jab humne road trip ki thi, kitne mazedaar moments aaye the, waise travel ka maza hi alag hai!","haan, us trip ki yaad aati hai, music sunte sunte ghoomna aur woh roadside food, kabhi nahi bhool sakti, aisa plan toh fir se banana chahiye!",Hinglish Everyday Conversations,"sun,kya tumhe yaad hai, jab humne road trip ki thi, kitne mazedaar moments aaye the, waise travel ka maza hi alag hai!","haan, us trip ki yaad aati hai, music sunte sunte ghoomna aur woh roadside food, kabhi nahi bhool sakti, aisa plan toh fir se banana chahiye!"
Tu kr na,"samajh gaya, aur batao? main sun raha hun 🙂",Roman Urdu Sentiment Support,tu kr na,"samajh gaya, aur batao? main sun raha hun 🙂"
Yhi kahan us sy,"samajh gaya, aur batao? main sun raha hun 🙂",Roman Urdu Sentiment Support,yhi kahan us sy,"samajh gaya, aur batao? main sun raha hun 🙂"
Ab Leony na bun na tu. Leony dee peony.,"samajh gaya, aur batao? main sun raha hun 🙂",Roman Urdu Sentiment Support,ab leony na bun na tu. leony dee peony.,"samajh gaya, aur batao? main sun raha hun 🙂"
"oye,lunch khaya?","haan yaar, par thoda sa khana bacha hai, tu chahe toh le jaa.",Hinglish Everyday Conversations,"oye,lunch khaya?","haan yaar, par thoda sa khana bacha hai, tu chahe toh le jaa."
"acha,waise hi park mein jaana tha, hum saath mein walk karenge!","yeah, chalna, maza aayega! khane ki baat bad mein discuss karenge, kya banane ka plan hai?",Hinglish Everyday Conversations,"acha,waise hi park main jaana tha, hum saath main walk karenge!","yeah, chalna, maza aayega! khane ki baat bad mein discuss karenge, kya banane ka plan hai?"
"bhai,aaj ka khana kya banaya hai?","aaj paneer butter masala banaya hai, tu aana khane.",Hinglish Everyday Conversations,"bhai,aaj ka khana kya banaya hai?","aaj paneer butter masala banaya hai, tu aana khane."
"aree,lawyer ne mujhe koi advice nahi di, mere case ke bare mein kuchh bolta nahi hai","yaar, lawyer ko kya karna hai, tumhe khud se decision lena hai? aisa toh nahi hoga na, aap ko to legal advice dega na?",Hinglish Everyday Conversations,"aree,lawyer ne mujhe koi advice nahi di, mere case ke bare main kuchh bolta nahi hai","yaar, lawyer ko kya karna hai, tumhe khud se decision lena hai? aisa toh nahi hoga na, aap ko to legal advice dega na?"
wo kitni badmash hai na!,"haan yaar, par bohot pyari bhi hai.",Hinglish Everyday Conversations,wo kitni badmash hai na!,"haan yaar, par bohot pyari bhi hai."
tumhe kis kis cheez ki zarurat hai?,main list bana ke bhejti hoon.,Hinglish Everyday Conversations,tumhe kis kis cheez ki zarurat hai?,main list bana ke bhejti hoon.
Ab to 1day me 10k bn rhe hn😅,"wah, ye sun kar bohat acha laga! khush raho 😊",Roman Urdu Sentiment Support,ab to 1day me 10k bn rhe hn,"wah, ye sun kar bohat acha laga! khush raho 😊"
or ksy hoty hen s aywz sadiq bara ghaqar koe nae pora pmln,"samajh sakta hun, ye waqai mushkil lag raha hai. thora relax karo, main tumhare sath hun 🤗",Roman Urdu Sentiment Support,or ksy hoty hen s aywz sadiq bara ghaqar koe nae pora pmln,"samajh sakta hun, ye waqai mushkil lag raha hai. thora relax karo, main tumhare sath hun 🤗"
"main toh bahut time se kuch volunteer kaam karna chahti thi,par pata nahi kabhi shuru kar payi, kya aap kuch suggestions de sakte ho?","dekho, aapke area mein toh kaafi ngos honge, tum unki website check kar sakti ho ya fir facebook page, social media pe kaafi posts aaate hain volunteer opportunities ke, waha se bhi dekh sakti ho, baat toh aapko karni padegi, aapki interest ka kya field hai?.",Hinglish Everyday Conversations,"main toh bahut time se kuch volunteer kaam karna chahti thi,par pata nahi kabhi shuru kar payi, kya aap kuch suggestions de sakte ho?","dekho, aapke area mein toh kaafi ngos honge, tum unki website check kar sakti ho ya fir facebook page, social media pe kaafi posts aaate hain volunteer opportunities ke, waha se bhi dekh sakti ho, baat toh aapko karni padegi, aapki interest ka kya field hai?."
tune woh song suna?,haan yaar bohot acha hai.,Hinglish Everyday Conversations,tune woh song suna?,haan yaar bohot acha hai.
"arey,shaam ko kya khaana hai aaj?","kuch jaldi se banaane layak banaye, mujhe to bhookh lagi hai!",Hinglish Everyday Conversations,"arey,shaam ko kya khaana hai aaj?","kuch jaldi se banaane layak banaye, mujhe to bhookh lagi hai!"
"kal meri maa ne mujhe kaha ki unhe apne dost se kuch important baat karni hai,mujhe laga shayad unki koi chinta hai, par woh toh bas gupshup karne wali thi!","waah, kabhi kabhi toh aisa hota hai, jab unki dosti badhti hai, toh humare saath time kam ho jata hai, lekin unki khushi bhi toh zaroori hai!",Hinglish Everyday Conversations,"kal meri maa ne mujhe kaha ki unhe apne dost se kuch important baat karni hai,mujhe laga shayad unki koi chinta hai, par woh toh bas gupshup karne wali thi!","waah, kabhi kabhi toh aisa hota hai, jab unki dosti badhti hai, toh humare saath time kam ho jata hai, lekin unki khushi bhi toh zaroori hai!"
"kal toh humne rock climbing ka plan banaya hai,mujhe thoda dar lag raha hai lekin adventure ki adrenaline rush toh zaroori hai!","koi nahi, dar ko side mein rakh, bas grip pakad le aur upar chadhte ja, jab tu upar pahunch jayegi toh satisfaction ka feeling hi alag hoga!",Hinglish Everyday Conversations,"kal toh humne rock climbing ka plan banaya hai,mujhe thoda dar lag raha hai lekin adventure ki adrenaline rush toh zaroori hai!","koi nahi, dar ko side mein rakh, bas grip pakad le aur upar chadhte ja, jab tu upar pahunch jayegi toh satisfaction ka feeling hi alag hoga!"
ma ne ye set lia hay kal he its an amazing set . ,"wah, ye sun kar bohat acha laga! khush raho 😊",Roman Urdu Sentiment Support,ma ne ye set lia hay kal he its an amazing set .,"wah, ye sun kar bohat acha laga! khush raho 😊"
Me sadka dena ha,"samajh gaya, aur batao? main sun raha hun 🙂",Roman Urdu Sentiment Support,me sadka dena ha,"samajh gaya, aur batao? main sun raha hun 🙂"
roshan khan ne britsh open aur world open ke title jeetey un key bad jhangir khan ney yea dono title apney nam kea to squash ki tareekh mein inn dono ezazat ko apney nam ker ney waley yea wahid bap beata bun gae,"wah, ye sun kar bohat acha laga! khush raho 😊",Roman Urdu Sentiment Support,roshan khan ne britsh open aur world open ke title jeetey un key bad jhangir khan ney yea dono title apney nam kea to squash ki tareekh main inn dono ezazat ko apney nam ker ney waley yea wahid bap beata bun gae,"wah, ye sun kar bohat acha laga! khush raho 😊"
afsos in pmln walon,"samajh sakta hun, ye waqai mushkil lag raha hai. thora relax karo, main tumhare sath hun 🤗",Roman Urdu Sentiment Support,afsos in pmln walon,"samajh sakta hun, ye waqai mushkil lag raha hai. thora relax karo, main tumhare sath hun 🤗"
"kya,this time andaman jaane ka plan hai?","haa, scuba diving and exploring the islands!",Hinglish Everyday Conversations,"kya,this time andaman jaane ka plan hai?","haa, scuba diving and exploring the islands!"
aaj to meeting me mere boss ne bahut pressure dala! feeling so overwhelmed!,"haan, aise situations mein thoda pressure aana toh normal hai. lekin deep breath le, aur apna focus maintain karna important hai. kuchh time nikal ke apne liye, relax karne ki koshish karo, aur next step ke liye plan banao",Hinglish Everyday Conversations,aaj to meeting me mere boss ne bahut pressure dala! feeling so overwhelmed!,"haan, aise situations mein thoda pressure aana toh normal hai. lekin deep breath le, aur apna focus maintain karna important hai. kuchh time nikal ke apne liye, relax karne ki koshish karo, aur next step ke liye plan banao"
"ab toh jaise khane ki bas aadat hi ban gayi hai,puri din snacks khaane ki.","aree, yeh toh sabhi ki problem hai! maine toh kya kiya, fridge mein fruits and vegetables keep karke, khali pet, aisa lagta hai toh, khane ki craving aa gayi toh, pehle woh khale, toh cravings control mein aaye.",Hinglish Everyday Conversations,"ab toh jaise khane ki bas aadat hi ban gayi hai,puri din snacks khaane ki.","aree, yeh toh sabhi ki problem hai! maine toh kya kiya, fridge mein fruits and vegetables keep karke, khali pet, aisa lagta hai toh, khane ki craving aa gayi toh, pehle woh khale, toh cravings control mein aaye."
"yaar,mujhe laga tha ki food sustainability sirf farmers ki responsibility hai, par ab samajh aaya ki humein bhi ismein contribute karna chahiye.","sahi kaha, har ek consumer ka role hota hai, agar hum waste kam karen aur sahi chizien khariden toh sabko faida hoga!",Hinglish Everyday Conversations,"yaar,mujhe laga tha ki food sustainability sirf farmers ki responsibility hai, par ab samajh aaya ki humein bhi ismein contribute karna chahiye.","sahi kaha, har ek consumer ka role hota hai, agar hum waste kam karen aur sahi chizien khariden toh sabko faida hoga!"
Yia konsa fooj hia,"samajh gaya, aur batao? main sun raha hun 🙂",Roman Urdu Sentiment Support,yia konsa fooj hia,"samajh gaya, aur batao? main sun raha hun 🙂"
pti aik maha kanjar expose iss kehtay allah taalah kee laathi buhat bayawaaz jiss jiss ney meray nawaz shrif bao jee k saath ziadati kee kanjar apaney anjaam pohancha,"samajh sakta hun, ye waqai mushkil lag raha hai. thora relax karo, main tumhare sath hun 🤗",Roman Urdu Sentiment Support,pti aik maha kanjar expose iss kehtay allah taalah kee laathi buhat bayawaaz jiss jiss ney meray nawaz shrif bao jee k saath ziadati kee kanjar apaney anjaam pohancha,"samajh sakta hun, ye waqai mushkil lag raha hai. thora relax karo, main tumhare sath hun 🤗"
"main soch rahi hoon ki ek naya hobby shuru karun,par samajh nahi aata ki kya choose karun!","shayad tum gardening try kar sakti ho, wo na sirf relaxing hota hai, balki tumhe nature ke kareeb bhi le jaata hai, aur fresh vegetables bhi milte hain!",Hinglish Everyday Conversations,"main soch rahi hoon ki ek naya hobby shuru karun,par samajh nahi aata ki kya choose karun!","shayad tum gardening try kar sakti ho, wo na sirf relaxing hota hai, balki tumhe nature ke kareeb bhi le jaata hai, aur fresh vegetables bhi milte hain!"
"arre,mere email account mein toh sab kuch itna cluttered ho gaya hai ki mujhe samajh nahi aa raha, kaunse emails important hain!","emails ko sort karne ke liye folders bana le, kabhi kabhi unhe archive karna bhi madadgar hota hai, tab toh sab kuch organized ho jaayega!",Hinglish Everyday Conversations,"arre,mere email account main toh sab kuch itna cluttered ho gaya hai ki mujhe samajh nahi aa raha, kaunse emails important hain!","emails ko sort karne ke liye folders bana le, kabhi kabhi unhe archive karna bhi madadgar hota hai, tab toh sab kuch organized ho jaayega!"
"tu kaise hai? i hope you're doing good. kuchh din pehle ek inspirational video dekhi thi,usme bolte the ki ek hi cheez bahut important hai zindagi mein - happiness.aur yeh hamare hands mein hai. koi bahar se nahin de sakta.","acha, yeh toh sahi baat hai. bahar se to log appreciation de sakte hai, yaar, help kar sakte hai. lekin andar ki khushi, woh toh hum khud hi generate karna seekhna padega. kuchh alag hai.",Hinglish Everyday Conversations,"tu kaise hai? i hope you're doing good. kuchh din pehle ek inspirational video dekhi thi,usme bolte the ki ek hi cheez bahut important hai zindagi main happiness.aur yeh hamare hands main hai. koi bahar se nahi de sakta.","acha, yeh toh sahi baat hai. bahar se to log appreciation de sakte hai, yaar, help kar sakte hai. lekin andar ki khushi, woh toh hum khud hi generate karna seekhna padega. kuchh alag hai."
meri merey bhayoon ki aur mere khandaan ki london mein tou kya pakistan mein bi koi properties nahin hain mein abu ke ghar mein rehti hoon aur abu apni ami ke ghar mein rehtey hain aur woh sab qatari ke ghar mein rehtey hain sponsored links,"samajh gaya, aur batao? main sun raha hun 🙂",Roman Urdu Sentiment Support,meri merey bhayoon ki aur mere khandaan ki london main tou kya pakistan main bi koi properties nahi hain main abu ke ghar main rehti hoon aur abu apni ami ke ghar main rehtey hain aur woh sab qatari ke ghar main rehtey hain sponsored links,"samajh gaya, aur batao? main sun raha hun 🙂"
yah pmln waja bar jeet gia ticket ni candidate vote mily,"samajh sakta hun, ye waqai mushkil lag raha hai. thora relax karo, main tumhare sath hun 🤗",Roman Urdu Sentiment Support,yah pmln waja bar jeet gia ticket ni candidate vote mily,"samajh sakta hun, ye waqai mushkil lag raha hai. thora relax karo, main tumhare sath hun 🤗"
"haan,khud ka dhyaan rakhiye",thank you.,Hinglish Everyday Conversations,"haan,khud ka dhyaan rakhiye",thank you.
"arre,main toh soch rahi thi ki kya main apne ghar ke side wall par kuch climbing plants laga sakti hoon, kya tumhe koi suggestions hain?","definitely! climbing plants jaise ivy ya morning glory lagao, woh toh wall ko beautiful banate hain, aur ghar ko bhi ek alag hi look dete hain!",Hinglish Everyday Conversations,"arre,main toh soch rahi thi ki kya main apne ghar ke side wall par kuch climbing plants laga sakti hoon, kya tumhe koi suggestions hain?","definitely! climbing plants jaise ivy ya morning glory lagao, woh toh wall ko beautiful banate hain, aur ghar ko bhi ek alag hi look dete hain!"
"main toh yaar garden mein kuchh time bitata hi hoon,kuchh saplings lagaati hoon, paani deti hoon, aise hi aaram mil jaata hai, dil khush ho jaata hai!","haan, aapko toh bohot majaa aata hoga gardening mein, mujhe toh kabhi kuchh samajh nahi aata, kya lagaana chahiye, kaise dekhna chahiye!",Hinglish Everyday Conversations,"main toh yaar garden main kuchh time bitata hi hoon,kuchh saplings lagaati hoon, paani deti hoon, aise hi aaram mil jaata hai, dil khush ho jaata hai!","haan, aapko toh bohot majaa aata hoga gardening mein, mujhe toh kabhi kuchh samajh nahi aata, kya lagaana chahiye, kaise dekhna chahiye!"
Spot Ko Clear Kernay K Lye Bomb Disposal Talab ,"samajh sakta hun, ye waqai mushkil lag raha hai. thora relax karo, main tumhare sath hun 🤗",Roman Urdu Sentiment Support,spot ko clear kernay k lye bomb disposal talab,"samajh sakta hun, ye waqai mushkil lag raha hai. thora relax karo, main tumhare sath hun 🤗"
did you hear about the earthquake relief effort?,"yeah, i donated what i could. every little bit helps.",Hinglish Everyday Conversations,did you hear about the earthquake relief effort?,"yeah, i donated what i could. every little bit helps."
net ko chor,"samajh gaya, aur batao? main sun raha hun 🙂",Roman Urdu Sentiment Support,net ko chor,"samajh gaya, aur batao? main sun raha hun 🙂"
aapke family mein kya koi lawyer hai? humko kaafi legal guidance ki jarurat hai,"haan, mera brother lawyer hai, mujhe lagta hai woh aapko help kar sakta hai.",Hinglish Everyday Conversations,aapke family main kya koi lawyer hai? humko kaafi legal guidance ki jarurat hai,"haan, mera brother lawyer hai, mujhe lagta hai woh aapko help kar sakta hai."
Ducky bhai aapka Shipu bhi bahut Achcha tha Agali dafa main bhi apni ship Ko shippu Naam rakhungi,"wah, ye sun kar bohat acha laga! khush raho 😊",Roman Urdu Sentiment Support,ducky bhai aapka shipu bhi bahut achcha tha agali dafa main bhi apni ship ko shippu naam rakhungi,"wah, ye sun kar bohat acha laga! khush raho 😊"
"weekend mein shaadi hai,aaj kal toh har weekend koi na koi shaadi hi hoti hai. tumhara kya plan hai?","mujhe toh office mein hi rehna padega, sunday ko koi aisa event hai, shayad jaa paunga. tum log kaise jaaoge, kuchh pakka?",Hinglish Everyday Conversations,"weekend main shaadi hai,aaj kal toh har weekend koi na koi shaadi hi hoti hai. tumhara kya plan hai?","mujhe toh office mein hi rehna padega, sunday ko koi aisa event hai, shayad jaa paunga. tum log kaise jaaoge, kuchh pakka?"
chalo mujse to ache ho muje to itna bhi karna nahi aata,"wah, ye sun kar bohat acha laga! khush raho 😊",Roman Urdu Sentiment Support,chalo mujse to ache ho muje to itna bhi karna nahi aata,"wah, ye sun kar bohat acha laga! khush raho 😊"
Haram ki olad e police m jati h,"samajh sakta hun, ye waqai mushkil lag raha hai. thora relax karo, main tumhare sath hun 🤗",Roman Urdu Sentiment Support,haram ki olad e police m jati h,"samajh sakta hun, ye waqai mushkil lag raha hai. thora relax karo, main tumhare sath hun 🤗"
ye plants kahan se laayein?,"organic nursery se, chemical free.",Hinglish Everyday Conversations,ye plants kahan se laayein?,"organic nursery se, chemical free."
"yaar,suna kya? hamare sheher mein ek naya gym khul raha hai, aur unhone special discounts diye hain, kya tum membership lene ka soch rahi ho?","haan, mujhe toh fitness ka bahut shauk hai, par mujhe samajh nahi aa raha ki kya yeh gym mere liye suitable hoga ya nahi!",Hinglish Everyday Conversations,"yaar,suna kya? hamare sheher main ek naya gym khul raha hai, aur unhone special discounts diye hain, kya tum membership lene ka soch rahi ho?","haan, mujhe toh fitness ka bahut shauk hai, par mujhe samajh nahi aa raha ki kya yeh gym mere liye suitable hoga ya nahi!"
Use ye bhi PATA us ka czn china hy,"samajh gaya, aur batao? main sun raha hun 🙂",Roman Urdu Sentiment Support,use ye bhi pata us ka czn china hai,"samajh gaya, aur batao? main sun raha hun 🙂"
"arey,kal hamare society mein ek talent show hai, suna hai sab log apne skills dikhayenge, tumhe bhi kuch dikhana hai kya?","nahi, main toh sirf audience banungi, lekin mujhe dekhna bohot pasand hai, kya tum bhi kuch perform karne ka soch rahi ho?",Hinglish Everyday Conversations,"arey,kal hamare society main ek talent show hai, suna hai sab log apne skills dikhayenge, tumhe bhi kuch dikhana hai kya?","nahi, main toh sirf audience banungi, lekin mujhe dekhna bohot pasand hai, kya tum bhi kuch perform karne ka soch rahi ho?"
coffee piyega kya?,"nahi yaar, abhi thoda chaha piya hai.",Hinglish Everyday Conversations,coffee piyega kya?,"nahi yaar, abhi thoda chaha piya hai."
Hmm mn b krti aisy,"samajh gaya, aur batao? main sun raha hun 🙂",Roman Urdu Sentiment Support,hmm mn b krti aisy,"samajh gaya, aur batao? main sun raha hun 🙂"
Me hold rakhu ya sell kr dn 😄,"samajh gaya, aur batao? main sun raha hun 🙂",Roman Urdu Sentiment Support,me hold rakhu ya sell kr dn,"samajh gaya, aur batao? main sun raha hun 🙂"
tum cinema hall prefer karti ho ya streaming?,"streaming, ghar pe comfortable rehti hoon.",Hinglish Everyday Conversations,tum cinema hall prefer karti ho ya streaming?,"streaming, ghar pe comfortable rehti hoon."
"yaad hai jab humne ek baar school trip par jaane ke liye kitna excitement feel kiya tha,aur wo train ka safar?","haan, aur jab hum log train mein snacks le kar gaye the, aur sabne milke maze kiye the, wo yaadein kabhi nahi bhoolti!",Hinglish Everyday Conversations,"yaad hai jab humne ek baar school trip par jaane ke liye kitna excitement feel kiya tha,aur wo train ka safar?","haan, aur jab hum log train mein snacks le kar gaye the, aur sabne milke maze kiye the, wo yaadein kabhi nahi bhoolti!"
